 N#  STAT PH  dTime W1 W2     dZ    dLa    dLo    Mag SEED_name 
  1 VAVUN  P   0.02  1  2   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VAVUN  S   0.07  3  3   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VBOKI  S  -0.08  1  2   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VBUTM  P   0.05  0  1   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VBUTM  S   0.08  1  2   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VIRHO  P   0.03  1  1   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VKOLH  P   0.08  1  3   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VKOLH  S  -0.08  1  2   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VPOTO  P   0.01  1  2   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VSARA  P  -0.01  0  1   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VSARA  S   0.09  0  3   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VTAMB  P   0.02  0  1   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VTAMB  S  -0.16  1  2   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  1 VTURT  P  -0.15  2  1   -5.7    1.4    3.5    1.8 2008-06-01-0003-53S.VNRC__100_MSEED 
  2 VBUTM  P   0.11  2  2   -1.4   -8.0   -6.6    1.5 2008-06-01-0013-41S.VNRC__100_MSEED 
  2 VBUTM  S  -0.36  2  9   -1.4   -8.0   -6.6    1.5 2008-06-01-0013-41S.VNRC__100_MSEED 
  2 VKOLH  S  -0.11  2  3   -1.4   -8.0   -6.6    1.5 2008-06-01-0013-41S.VNRC__100_MSEED 
  2 VSARA  P   0.06  2  9   -1.4   -8.0   -6.6    1.5 2008-06-01-0013-41S.VNRC__100_MSEED 
  2 VSARA  S   0.37  1  3   -1.4   -8.0   -6.6    1.5 2008-06-01-0013-41S.VNRC__100_MSEED 
  5 VAVUN  P   0.11  2  2  -13.2    6.3   11.3    1.5 2008-06-01-0041-48S.VNRC__100_MSEED 
  5 VBUTM  P  -0.10  1  1  -13.2    6.3   11.3    1.5 2008-06-01-0041-48S.VNRC__100_MSEED 
  5 VKOLH  S  -0.71  2  3  -13.2    6.3   11.3    1.5 2008-06-01-0041-48S.VNRC__100_MSEED 
  5 VSARA  S  -0.03  1  2  -13.2    6.3   11.3    1.5 2008-06-01-0041-48S.VNRC__100_MSEED 
  5 VTAMB  S   0.02  2  3  -13.2    6.3   11.3    1.5 2008-06-01-0041-48S.VNRC__100_MSEED 
  6 VBUTM  P  -0.58  2  3    1.4  -64.9   17.5    1.9 2008-06-01-0044-37S.VNRC__100_MSEED 
  6 VBUTM  S   0.03  2  3    1.4  -64.9   17.5    1.9 2008-06-01-0044-37S.VNRC__100_MSEED 
  6 VSARA  P   0.04  1  3    1.4  -64.9   17.5    1.9 2008-06-01-0044-37S.VNRC__100_MSEED 
  7 VBUTM  S  -0.06  2  2    0.4    1.1    0.4    1.1 2008-06-01-0100-29S.VNRC__100_MSEED 
  7 VIRHO  P   0.00  1  0    0.4    1.1    0.4    1.1 2008-06-01-0100-29S.VNRC__100_MSEED 
  7 VIRHO  S   0.01  2  3    0.4    1.1    0.4    1.1 2008-06-01-0100-29S.VNRC__100_MSEED 
  7 VKOLH  P   0.03  2  2    0.4    1.1    0.4    1.1 2008-06-01-0100-29S.VNRC__100_MSEED 
  7 VKOLH  S  -0.05  2  2    0.4    1.1    0.4    1.1 2008-06-01-0100-29S.VNRC__100_MSEED 
  7 VTAMB  P  -0.37  2  1    0.4    1.1    0.4    1.1 2008-06-01-0100-29S.VNRC__100_MSEED 
  8 OS02   P  -0.08  0  0   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 OS04   P   0.03  0  2   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 OS05   P   0.03  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 OS06   P   0.01  0  2   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 OS07   P   0.03  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 OS08   P  -0.30  0  3   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 OS09   P   0.03  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 OS10   P   0.02  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VANGO  P  -0.10  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VANGO  S   0.27  1  3   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
