
  The input file had          169  events
 station not found VTUR 
 station not found VIRH 
 station not found VKOL 
 station not found VBOK 
 station not found VTAM 
 station not found VBUT 
 station not found VSAR 
 station not found VAVU 
 station not found VASA 
 station not found VLEB 
 station not found VPOT 
 station not found VNAR 
 station not found VANG 
 station not found VWUS 
 station not found VEBE 
 station not found VSUL 
 station not found VSAL 
 station not found OS01 
 station not found OS08 
 station not found OS05 
 station not found OS02 
 station not found VESP 
 station not found OS04 
 station not found OS07 
 station not found OS06 
 station not found OS03 
 station not found OS10 
 station not found OS09 
 station not found VLEV 
 station not found VLAK 
.394  167.706 115.0 0.0 0.0 0.0 0.1    5
VIRH  16.28 0.50 P
VKOL  17.07 0.50 P
VKOL  30.85 0.25 S
VAVU  17.52 0.50 P
VTAM  17.14 0.25 P
VTAM  30.94 0.25 S
VPOT  18.02 0.25 P
VBUT  17.87 0.75 P
VSAR  32.55 0.50 S
# 2008  6  1  0 44 39.9 -15.078  167.243 135.0 0.0 0.0 0.0 0.0    6
VKOL  17.65 0.25 P
VKOL  31.77 0.25 S
VSAR  17.92 0.25 P
VBUT  18.21 0.25 P
VBUT  32.71 0.25 S
# 2008  6  1  1  0 43.7 -15.366  166.979  38.2 0.0 0.0 0.0 0.1    7
VBUT   5.52 0.75 P
VBUT  10.01 0.50 S
VLEB   5.62 0.75 P
VTAM   5.73 0.75 P
VSAR   5.96 0.75 P
VSAR  10.63 0.50 S
VTUR   6.13 1.00 P
VKOL   6.52 0.50 P
VKOL  11.78 0.50 S
VIRH   6.63 1.00 P
VIRH  11.71 0.25 S
VAVU   7.40 0.75 P
VAVU  13.50 0.25 S
# 2008  6  1  1  5  9.2 -14.761  167.233  88.7 0.0 0.0 0.0 0.5    8
VKOL  13.23 0.75 P
VKOL  23.58 0.50 S
VSAR  13.82 0.75 P
VSAR  25.46 0.50 S
VTUR  14.17 0.75 P
VBUT  14.90 0.50 P
VBUT  26.71 0.25 S
VANG  15.43 0.75 P
VANG  27.38 0.25 S
VIRH  15.11 0.75 P
VIRH  26.61 0.50 S
VLEB  15.66 0.75 P
VLEB  28.01 0.25 S
VTAM  15.73 0.75 P
VTAM  27.78 0.50 S
VWUS  17.35 1.00 P
VWUS  32.95 0.50 S
VEBE  17.87 0.75 P
VAVU  17.57 0.50 P
VAVU  31.22 0.50 S
VSUL  18.39 1.00 P
VSAL  19.54 0.75 P
VASA  18.46 0.50 P
VASA  32.80 0.25 S
OS01  17.92 1.00 P
OS08  19.55 0.25 P
OS05  19.99 0.75 P
OS02  19.05 1.00 P
VPOT  20.51 0.75 P
VPOT  37.03 0.25 S
VESP  21.67 0.50 P
VESP  38.05 0.25 S
OS04  20.46 0.50 P
OS07  21.73 0.75 P
OS06  22.19 0.50 P
OS03  20.69 1.00 P
OS10  23.66 0.75 P
OS09  23.52 0.75 P
# 2008  6  1  1 15 23.5 -15.250  167.679 111.8 0.0 0.0 0.0 0.2    9
VIRH  16.12 0.25 P
VKOL  16.58 0.50 P
VTAM  16.99 1.00 P
VTAM  30.50 0.75 S
VASA  17.26 0.75 P
VASA  31.51 0.25 S
VAVU  17.59 1.00 P
VAVU  31.68 0.50 S
VSAR  17.55 1.00 P
VSAR  31.44 0.75 S
VBUT  17.49 1.00 P
VBUT  31.30 0.75 S
VLEB  17.75 0.50 P
VLEB  32.27 0.75 S
VPOT  18.51 1.00 P
VPOT  33.80 0.25 S
VANG  18.19 0.25 P
OS08  19.34 0.25 P
VESP  19.18 0.50 P
VESP  34.88 0.25 S
# 2008  6  1  1 24 31.3 -14.999  166.845  25.4 0.0 0.0 0.0 0.1   10
VSAR   5.92 1.00 P
VANG   6.50 1.00 P
VKOL   7.28 1.00 P
VKOL  13.06 0.50 S
VBUT   7.42 0.75 P
VTUR  15.05 0.50 S
VIRH  10.03 0.50 P
VIRH  17.90 0.50 S
# 2008  6  1  2  3 32.5 -14.866  167.214 138.7 0.0 0.0 0.0 0.3   11
VKOL  18.22 0.75 P
VKOL  32.49 0.50 S
VSAR  18.86 1.00 P
VSAR  33.72 0.25 S
VTUR  18.86 0.75 P
VBUT  19.59 0.75 P
VBUT  34.87 0.50 S
VANG  19.92 1.00 P
VANG  35.47 0.50 S
VIRH  19.33 0.75 P
VLEB  20.10 0.75 P
VLEB  36.16 0.75 S
VTAM  19.90 0.50 P
VTAM  35.36 0.50 S
VWUS  21.22 0.50 P
VEBE  21.25 0.50 P
VAVU  21.15 0.75 P
VAVU  37.94 0.25 S
VSUL  21.89 0.50 P
VASA  21.83 0.75 P
OS01  21.58 1.00 P
OS02  22.23 1.00 P
OS04  23.00 0.50 P
OS03  23.87 0.75 P
# 2008  6  1  2  8 48.5 -14.152  167.017  29.7 0.0 0.0 0.0 0.1   12
VSAR  17.67 0.75 P
VKOL  17.48 0.75 P
VKOL  31.29 0.25 S
VANG  18.87 0.75 P
VANG  33.74 0.25 S
VTUR  18.96 0.25 P
VLEB  20.52 0.25 P
VIRH  20.74 0.75 P
VIRH  37.64 0.50 S
VAVU  23.55 0.75 P
# 2008  6  1  2 42 59.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   13
# 2008  6  1  2 52 14.9 -15.504  167.648 100.4 0.0 0.0 0.0 0.3   14
VIRH  14.32 0.50 P
VASA  14.64 0.50 P
VTUR  14.96 0.50 P
VAVU  15.38 0.50 P
VAVU  27.65 0.25 S
VPOT  15.56 0.75 P
VKOL  15.57 0.50 P
VKOL  27.84 0.50 S
VTAM  15.42 0.25 P
VTAM  27.56 0.75 S
VESP  16.39 0.75 P
VEBE  16.75 0.25 P
VSAR  16.67 0.50 P
VSAR  30.10 0.25 S
VANG  15.96 0.25 P
